City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Ambon,ID,-3.6954,128.1814,89.74,58,40,9.22,scattered clouds
294,Maragogi,BR,-9.0122,-35.2225,76.62,80,51,4.63,broken clouds
295,Xam Nua,LA,20.4197,104.0439,59.92,82,100,3.44,overcast clouds
296,Matara,LK,5.9485,80.5353,86.76,62,89,3.6,overcast clouds
297,Lyuban,BY,52.7985,28.0048,25.41,66,29,3.15,scattered clouds
298,Niltepec,MX,16.5667,-94.6167,74.12,74,8,10.29,clear sky
299,Tuatapere,NZ,-46.1333,167.6833,57.49,70,42,9.17,scattered clouds
300,Fort Nelson,CA,58.8053,-122.7002,2.79,85,90,11.5,light snow
301,Vagur,FO,61.4732,-6.8119,48.31,80,100,32.91,overcast clouds
302,Guatire,VE,10.4762,-66.5427,76.21,97,47,1.45,scattered clouds
303,Argentan,FR,48.75,-0.0167,38.12,73,1,9.51,clear sky
304,Benghazi,LY,32.1167,20.0667,65.3,56,88,21.41,overcast clouds
305,Hasaki,JP,35.7333,140.8333,61.2,75,100,16.82,overcast clouds
306,Kysyl-Syr,RU,63.8986,122.7617,-17.16,98,97,2.59,overcast clouds
307,Laguna,US,38.421,-121.4238,57.02,92,1,0.0,mist
308,Acari,PE,-15.4311,-74.6158,68.18,78,82,2.62,broken clouds
309,Angoche,MZ,-16.2325,39.9086,82.76,65,37,7.43,scattered clouds
310,Nipawin,CA,53.3668,-104.0009,20.86,94,100,8.86,overcast clouds
311,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,96,40,14.61,scattered clouds
312,Mbour,SN,14.422,-16.9638,76.05,63,68,3.6,broken clouds
313,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,73.24,61,19,1.99,few clouds
314,Pisco,PE,-13.7,-76.2167,67.01,82,90,8.05,overcast clouds
315,Pangnirtung,CA,66.1451,-65.7125,22.86,75,100,15.7,overcast clouds
316,Juneau,US,58.3019,-134.4197,35.22,95,90,3.44,overcast clouds
317,Samarai,PG,-10.6167,150.6667,85.77,70,16,15.55,few clouds
318,Yanam,IN,16.7333,82.2167,86.4,68,18,3.06,few clouds
319,Kayseri,TR,38.737,35.4968,26.62,100,8,3.44,clear sky
320,Kayerkan,RU,69.3497,87.7602,11.01,84,100,14.99,overcast clouds
321,Hambantota,LK,6.1241,81.1185,84.13,66,97,3.36,overcast clouds
322,Kahului,US,20.8947,-156.47,76.26,84,75,11.5,broken clouds
323,Saratoga Springs,US,43.0831,-73.7846,32.97,85,20,4.83,few clouds
324,Rupert,US,42.6191,-113.6772,42.75,42,1,14.97,clear sky
325,Evanston,US,42.0411,-87.6901,29.46,51,20,1.99,few clouds
326,Kourou,GF,5.1552,-52.6478,81.1,90,80,4.61,broken clouds
327,Willmar,US,45.1219,-95.0433,28.42,74,1,3.44,clear sky
328,Lata,PT,40.1629,-8.3327,44.82,81,2,1.95,clear sky
329,Luoyang,CN,34.6836,112.4536,54.52,17,0,12.26,clear sky
330,Dingle,PH,10.9995,122.6711,85.6,72,72,12.75,broken clouds
331,Callaway,US,30.153,-85.5699,53.91,67,1,5.01,clear sky
332,Sao Filipe,CV,14.8961,-24.4956,79.75,64,1,7.87,clear sky
333,Cabo San Lucas,MX,22.8909,-109.9124,70.61,83,1,0.0,clear sky
334,Ayagoz,KZ,47.9714,80.4392,31.8,88,100,19.01,overcast clouds
335,Villa Maria,AR,-32.4075,-63.2402,69.49,36,47,8.37,scattered clouds
336,Fukue,JP,32.6881,128.8419,54.12,62,99,27.51,overcast clouds
337,Roma,US,43.2128,-75.4557,30.96,93,90,10.36,snow
338,Athabasca,CA,54.7169,-113.2854,33.66,76,63,11.34,broken clouds
339,Urucara,BR,-2.5364,-57.76,73.11,98,95,0.63,overcast clouds
340,Kupang,ID,-10.1667,123.5833,87.64,63,88,6.06,overcast clouds
341,Lagoa,PT,39.05,-27.9833,64.8,87,34,18.54,scattered clouds
342,Santa Maria,BR,-29.6842,-53.8069,73.72,54,17,4.32,few clouds
343,Marzuq,YE,14.4,46.4667,69.64,40,38,3.47,scattered clouds
344,Tura,IN,25.5198,90.2201,76.46,45,0,3.38,clear sky
